,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
289,holalkere,14.0333,76.1833,72.05,87,52,11.65,IN,1617062657
290,port lincoln,-34.7333,135.8667,70.18,64,1,5.26,AU,1617062756
291,bloomfield,40.8068,-74.1854,55.4,30,1,8.05,US,1617062486
292,saint-joseph,-21.3667,55.6167,77.0,73,0,6.91,RE,1617062756
293,jiuquan,39.7432,98.5174,45.64,48,100,6.13,CN,1617062757
294,sampit,-2.5333,112.95,75.33,97,100,1.5,ID,1617062757
295,sinnamary,5.3833,-52.95,77.61,86,93,14.54,GF,1617062757
296,lima,-12.0432,-77.0282,77.0,73,0,10.36,PE,1617062496
297,meadow lake,34.8014,-106.5436,75.99,10,75,20.71,US,1617062758
298,alyangula,-13.8483,136.4192,85.44,66,71,12.44,AU,1617062758
299,vanimo,-2.6741,141.3028,80.87,82,100,1.14,PG,1617062758
300,kargil,34.5667,76.1,23.38,69,15,6.53,IN,1617062819
301,ust-kuyga,70.0167,135.6,5.67,96,100,5.08,RU,1617062819
302,tavda,58.0425,65.2726,7.99,97,63,2.89,RU,1617062819
303,hukuntsi,-24.0,21.75,69.48,44,69,9.75,BW,1617062820
305,baykit,61.67,96.37,7.21,98,82,0.51,RU,1617062820
306,great falls,47.5002,-111.3008,30.0,74,75,8.05,US,1617062821
307,sumbe,-11.2061,13.8437,77.58,78,85,3.31,AO,1617062821
308,quesnel,52.9999,-122.5029,37.4,35,1,2.3,CA,1617062774
309,kalabo,-14.97,22.6814,64.09,84,40,6.11,ZM,1617062821
310,nsanje,-16.92,35.262,67.1,97,10,2.39,MW,1617062822
311,meulaboh,4.1363,96.1285,74.89,93,100,8.52,ID,1617062822
312,truckee,39.328,-120.1833,54.0,35,1,10.36,US,1617062822
313,ambilobe,-13.2,49.05,74.61,94,90,3.0,MG,1617062823
314,xining,36.6167,101.7667,45.18,44,100,2.71,CN,1617062823
315,ponta do sol,32.6667,-17.1,62.6,72,20,12.66,PT,1617062823
316,isangel,-19.55,169.2667,82.4,83,75,5.75,VU,1617062823
317,paharpur,32.1038,70.9724,73.09,17,0,7.11,PK,1617062824
318,khatanga,71.9667,102.5,-25.44,96,25,11.86,RU,1617062824
319,marrakesh,31.6315,-8.0083,62.6,48,21,8.05,MA,1617062824
320,lazarev,52.225,141.5131,31.21,94,100,10.71,RU,1617062825
321,sao joao da barra,-21.6403,-41.0511,77.41,90,77,5.68,BR,1617062640
322,serebryanyy bor,56.8,124.8,14.94,94,99,3.2,RU,1617062825
323,jacareacanga,-6.2222,-57.7528,74.37,97,75,1.95,BR,1617062825
324,buturlino,55.5667,44.8974,17.24,99,74,3.36,RU,1617062826
325,geraldton,-28.7667,114.6,75.2,69,90,13.8,AU,1617062826
326,camopi,3.1655,-52.3158,72.23,99,76,2.42,GF,1617062826
327,saquena,-4.6667,-73.5167,72.07,98,87,6.08,PE,1617062826
328,syracuse,37.0881,15.2792,53.01,87,0,5.75,IT,1617062785
329,suzun,53.7841,82.3116,20.95,92,100,14.7,RU,1617062827
331,sirjan,29.452,55.6814,57.96,23,3,2.48,IR,1617062783
332,manyana,-23.4,21.7167,70.72,42,82,7.4,BW,1617062828
